Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-14,25.3,16.2,91,63,0,12.19
Alcúdia,2025-10-14,24.8,17.3,97,69,15.5,2.01
Algaida,2025-10-14,24,15.9,98,67,22.7,8.1
Andratx,2025-10-14,27.6,18.2,86,50,14.8,0.3
Ariany,2025-10-14,-,-,-,-,-,-
Artà,2025-10-14,26,15.7,100,65,22.5,3.2
Banyalbufar,2025-10-14,24.3,18.4,96,71,16.6,0.3
Binissalem,2025-10-14,25.8,15.2,96,60,11.9,4.32
Búger,2025-10-14,27,16.6,96,62,15.4,2.79
Bunyola,2025-10-14,27.5,15.4,97,50,15.4,5.59
Calvià,2025-10-14,27.1,16.9,93,47,17.9,0.25
Campanet,2025-10-14,-,-,-,-,-,-
Campos,2025-10-14,26.3,17.6,96,63,32.2,6.6
Capdepera,2025-10-14,24.6,17.3,97,70,18.7,3
Consell,2025-10-14,-,-,-,-,-,-
Costitx,2025-10-14,25.6,15.3,99,72,10.1,6.3
Deià,2025-10-14,24.8,17.7,87,58,16.2,0
Escorca,2025-10-14,20.6,10.3,99,64,11.9,0.99
Esporles,2025-10-14,24.1,16.4,98,71,14.3,0
Estellencs,2025-10-14,-,-,-,-,-,-
Felanitx,2025-10-14,25.8,17.8,93,61,38.9,9.8
Fornalutx,2025-10-14,24,16.5,94,54,14,4.6
Inca,2025-10-14,26.9,16.8,97,63,11.1,3.81
Lloret,2025-10-14,24.7,15.9,98,72,5.8,0
Lloseta,2025-10-14,25.2,16.2,96,62,26.6,4.19
Llubí,2025-10-14,25.3,16.6,98,66,11.5,3.99
Llucmajor,2025-10-14,24.8,16.8,98,67,19.8,5
Manacor,2025-10-14,26.5,16.3,98,57,10.8,3.1
Mancor,2025-10-14,-,-,-,-,-,-
Maria,2025-10-14,23.7,15.7,99,74,23.8,3.99
Marratxí,2025-10-14,27.9,16.7,94,53,21.9,14.22
Montuïri,2025-10-14,24.3,15.2,99,77,18.7,7.9
Muro,2025-10-14,24.4,16.7,99,74,9.3,5.79
Palma,2025-10-14,27.7,17.9,94,58,21.2,5.41
Petra,2025-10-14,24.8,15.9,96,64,15,3.81
Pollença,2025-10-14,22.4,17,76,61,31.5,0.61
Porreres,2025-10-14,25.1,16.5,96,64,16.6,4.29
Sa Pobla,2025-10-14,28.3,17.3,95,59,11.7,2.79
Puigpunyent,2025-10-14,24.7,15.8,91,59,19.3,0.79
Ses   Salines,2025-10-14,26,17.7,94,62,25.9,3.3
Sant   Joan,2025-10-14,23.8,16.9,70,16,15.9,4.32
Sant   Llorenç,2025-10-14,30.8,16.2,99,58,5.5,1.78
Sencelles,2025-10-14,24.6,16.3,96,72,22.5,4.6
Santa   Eugènia,2025-10-14,28.9,15.8,99,53,10.3,5.59
Santa   Margalida,2025-10-14,24.2,17,96,70,19.1,3.99
Santa   Maria,2025-10-14,-,-,-,-,-,-
Santanyi,2025-10-14,25.5,17.8,99,63,11.1,4.6
Selva,2025-10-14,27,16,93,48,11.4,7.87
Sineu,2025-10-14,25.9,15.9,99,77,10.5,5.89
Sóller,2025-10-14,25.1,17.1,93,56,29.6,0
Son   Servera,2025-10-14,,,,,,
Valldemossa,2025-10-14,23.5,16,91,54,27.8,0
Villafranca,2025-10-14,,,,,0,3.61
