Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-09-23,29,18.3,58.3,0,0
Alcúdia,2026-09-23,28.7,17.3,76.1,13,0
Algaida,2026-09-23,29.6,19.7,67,17.6,0
Andratx,2026-09-23,30.4,19.8,55.8,21.2,0
Ariany,2026-09-23,NaN,NaN,NaN,NaN,NaN
Artà,2026-09-23,29.7,17,78.3,13,0
Banyalbufar,2026-09-23,27.5,19.6,75.8,7.9,0
Binissalem,2026-09-23,30.3,15.3,75.2,12.6,0
Búger,2026-09-23,30.3,16.5,75.8,15.4,0
Bunyola,2026-09-23,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-09-23,NaN,NaN,NaN,NaN,NaN
Calvià,2026-09-23,NaN,NaN,NaN,NaN,NaN
Campanet,2026-09-23,NaN,NaN,NaN,NaN,NaN
Campos,2026-09-23,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-09-23,28.3,21.4,73.7,9.3,0
Consell,2026-09-23,30.1,15,74.9,15.1,0
Costitx,2026-09-23,31.7,16.5,77.1,8.7,0
Deià,2026-09-23,28.3,20.7,61,9.4,0
Escorca,2026-09-23,25.8,11.3,74.5,14.4,0
Esporles,2026-09-23,27.4,16.2,78.9,17.2,0
Estellencs,2026-09-23,28.1,19,60.7,12.6,0
Felanitx,2026-09-23,31,19.1,69.3,17.9,0
Fornalutx,2026-09-23,26.9,19,63.4,13.7,0
Inca,2026-09-23,32,19.6,66.7,9.7,0
Lloret de Vistalegre,2026-09-23,30.8,17.9,74.8,6.4,0
Lloseta,2026-09-23,28.7,17.7,70.9,20.2,0
Llubí,2026-09-23,30.7,16.1,71.9,12.6,0
Llucmajor,2026-09-23,,,,14.4,0
Manacor,2026-09-23,31,16.7,72.6,13,0
Mancor,2026-09-23,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-09-23,28.1,18.8,72.4,14.8,0
Marratxí,2026-09-23,32.1,18.8,64.8,15,0
Montuïri,2026-09-23,30.9,14.5,79.8,14.3,0
Muro,2026-09-23,NaN,NaN,NaN,NaN,NaN
Palma,2026-09-23,28.9,20.2,67.5,10.4,0
Petra,2026-09-23,30.4,16.4,71.9,23,0
Pollença,2026-09-23,26,20.2,55.1,16.1,0
Porreres,2026-09-23,31.8,18.2,67.3,16.2,0
Sa Pobla,2026-09-23,28.5,17.4,73.5,0.3,0
Puigpunyent,2026-09-23,29.1,20.5,57.8,13.7,0
Ses Salines,2026-09-23,30.8,18.4,69.5,0,0
Sant Joan,2026-09-23,29.2,18.8,62.6,14.5,0
Sant Llorenç des Cardassar,2026-09-23,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-09-23,31.3,16.4,74,13.7,0
Santa Eugènia,2026-09-23,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-09-23,28.8,19.1,70.6,14.8,0
Santa María del Camí,2026-09-23,30.5,17.3,65.6,14.4,0
Santanyí,2026-09-23,NaN,NaN,NaN,NaN,NaN
Selva,2026-09-23,29.7,18.6,64.7,10.8,0
Sineu,2026-09-23,NaN,NaN,NaN,NaN,NaN
Sóller,2026-09-23,27.6,17.3,70.5,21.6,0
Son Servera,2026-09-23,27.3,19.6,70.4,13.3,0
Valldemossa,2026-09-23,24.1,19.9,67.4,10.4,0
Vilafranca de Bonany,2026-09-23,30.2,18.1,72.5,18,0
