Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-05-09,21.9,14.5,88,58,0,7.11
Alcúdia,2025-05-09,-,-,-,-,-,-
Algaida,2025-05-09,19.9,13.8,96,66,16.6,2.79
Andratx,2025-05-09,23.9,15,89,54,16.2,8.61
Ariany,2025-05-09,-,-,-,-,-,-
Artà,2025-05-09,21.9,12.4,98,71,22.5,18.8
Banyalbufar,2025-05-09,21.6,13.2,99,72,11.9,7.59
Binissalem,2025-05-09,22.6,13.8,96,59,11.9,4.83
Búger,2025-05-09,23.9,14.6,95,61,12.6,7.37
Bunyola,2025-05-09,23.8,13.8,96,49,12.2,0
Calvià,2025-05-09,22.4,14,94,54,16.1,9.4
Campanet,2025-05-09,-,-,-,-,-,-
Campos,2025-05-09,-,-,-,-,-,-
Capdepera,2025-05-09,21.3,14.6,95,70,21.2,13.69
Consell,2025-05-09,17.2,17.2,51,51,3.9,0
Costitx,2025-05-09,21.1,13.4,99,75,16.3,36.91
Deià,2025-05-09,21.3,13.9,92,58,13.7,3.51
Escorca,2025-05-09,16.8,7.8,97,73,16.6,6.4
Esporles,2025-05-09,20.7,13.3,97,71,16.3,6.1
Estellencs,2025-05-09,22.2,13.2,94,65,20.9,11.99
Felanitx,2025-05-09,21.7,14.8,92,64,33.3,35.2
Fornalutx,2025-05-09,20.9,12.8,96,59,13.4,0
Inca,2025-05-09,22.4,14.7,97,66,13,8.1
Lloret,2025-05-09,19.4,13.7,99,78,5.8,0.79
Lloseta,2025-05-09,20.5,13.8,97,67,24.1,14.91
Llubí,2025-05-09,22.1,13.9,95,65,12.6,18.21
Llucmajor,2025-05-09,22,14.7,98,61,19.1,4.6
Manacor,2025-05-09,20.2,14,96,74,19.1,19.1
Mancor,2025-05-09,-,-,-,-,-,-
Maria,2025-05-09,19.4,13.5,99,76,19.8,13
Marratxí,2025-05-09,23.2,14.7,94,55,16.9,4.57
Montuïri,2025-05-09,20.8,12.7,99,77,17.7,13.69
Muro,2025-05-09,21.5,14.3,99,73,0,25.91
Palma,2025-05-09,22.7,15.4,95,70,16.2,16.21
Petra,2025-05-09,22.3,14.2,96,62,21.1,85.6
Pollença,2025-05-09,19.6,13.9,76,54,25.9,24.41
Porreres,2025-05-09,21.8,14.7,94,61,23,5.11
Sa Pobla,2025-05-09,24.9,15.3,94,59,9.3,13.46
Puigpunyent,2025-05-09,22.8,13.6,90,59,14.8,15.6
Ses   Salines,2025-05-09,21.1,15.6,95,69,27.8,1.78
Sant   Joan,2025-05-09,19.4,14.2,70,19,18,57.4
Sant   Llorenç,2025-05-09,21.4,13.9,97,73,7.4,22.35
Sencelles,2025-05-09,20.7,14.1,95,72,22.2,2.59
Santa   Eugènia,2025-05-09,25.6,7.6,99,45,15.3,3.05
Santa   Margalida,2025-05-09,21.1,14.1,94,68,13,9.4
Santa   Maria,2025-05-09,-,-,-,-,-,-
Santanyi,2025-05-09,24.9,16.1,97,68,2.9,1.09
Selva,2025-05-09,22.5,13.9,92,57,8.5,13.46
Sineu,2025-05-09,21.4,13.2,99,77,7.9,24.89
Sóller,2025-05-09,21.8,14.4,92,59,18.5,5.41
Son   Servera,2025-05-09,17.1,16,82,77,3.9,0
Valldemossa,2025-05-09,17.9,12.4,96,72,20.9,5.41
Villafranca,2025-05-09,,,,,18,21.11
